Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
GA02	RC057012	C	2011-03-05T20:56:00	307.31149	-49.54750
GA02	RC057022	C	2011-03-06T19:40:00	311.20670	-48.93580
GA02	RC057025	C	2011-03-07T07:22:00	311.39301	-48.80870
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700
GA02	RC057042	C	2011-03-09T03:22:00	314.47351	-44.71170
GA02	RC057052	C	2011-03-10T02:43:00	315.96820	-42.36400
GA02	RC057062	C	2011-03-11T02:17:00	317.57681	-39.96480
GA02	RC057071	C	2011-03-12T01:56:00	318.87518	-37.83050
GA02	RC057073	C	2011-03-12T09:19:00	318.86182	-37.85220
GA02	RC057082	C	2011-03-13T13:43:00	320.56900	-35.00930
GA02	RC057092	C	2011-03-14T18:45:00	322.54370	-32.09200
GA02	RC057102	C	2011-03-15T23:40:00	324.19220	-29.05380
GA02	RC057111	C	2011-03-17T00:34:00	325.74152	-26.08670
GA02	RC057113	C	2011-03-17T08:10:00	325.69971	-26.09050
GA02	RC057122	C	2011-03-18T14:16:00	327.25131	-22.47320
GA02	RC057132	C	2011-03-20T14:54:00	329.39481	-17.01730
GA02	RC057142	C	2011-03-22T01:00:00	330.76651	-12.89570
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080
GA02	RC057161	C	2011-03-24T12:54:00	331.54279	-5.66670
GA02	RC057163	C	2011-03-24T20:13:00	331.53601	-5.68900
GA02	RC057172	C	2011-03-25T21:08:00	331.08279	-2.65050
GA02	RC057182	C	2011-03-27T13:11:00	327.12549	-0.19150
GA02	RP319022	C	2010-05-02T16:58:00	325.75018	64.00030
GA02	RP319024	C	2010-05-02T21:11:00	325.75070	64.00010
GA02	RP319032	C	2010-05-03T22:34:00	324.00140	62.34520
GA02	RP319052	C	2010-05-04T16:47:00	322.08780	60.42620
GA02	RP319062	C	2010-05-05T11:58:00	320.29239	58.60180
GA02	RP319082	C	2010-05-07T14:34:00	314.16602	54.06350
GA02	RP319092	C	2010-05-09T10:10:00	314.26929	51.82130
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250
GA02	RP319112	C	2010-05-11T13:26:00	320.60101	47.80070
GA02	RP319114	C	2010-05-11T19:42:00	320.60010	47.80010
GA02	RP319122	C	2010-05-12T20:39:00	320.34201	46.31200
GA02	RP319132	C	2010-05-13T21:42:00	317.46490	44.84260
GA02	RP319151	C	2010-05-18T13:22:00	309.31451	37.56730
GA02	RP319153	C	2010-05-18T22:32:00	309.24411	37.52140
GA02	RP319162	C	2010-05-20T13:30:00	306.73190	36.20670
GA02	RP319172	C	2010-05-21T13:30:00	304.56839	34.32770
GA02	RP319182	C	2010-05-22T13:07:00	301.94971	33.43340
GA02	RP319192	C	2010-05-23T14:00:00	298.89981	32.55110
GA02	RP321211	C	2010-06-13T00:53:00	295.83301	31.66670
GA02	RP321215	C	2010-06-13T15:29:00	295.83362	31.66710
GA02	RP321222	C	2010-06-14T15:19:00	293.47031	29.61570
GA02	RP321234	C	2010-06-16T00:22:00	292.49850	28.09050
GA02	RP321242	C	2010-06-16T17:48:00	292.19562	26.23870
GA02	RP321252	C	2010-06-17T19:56:00	292.92740	24.71430
GA02	RP321262	C	2010-06-18T16:13:00	294.44708	23.27480
GA02	RP321272	C	2010-06-19T21:44:00	296.41669	22.34110
GA02	RP321281	C	2010-06-20T14:09:00	298.15680	21.77620
GA02	RP321292	C	2010-06-21T20:21:00	300.46921	20.45440
GA02	RP321303	C	2010-06-22T19:19:00	302.38770	18.57250
GA02	RP321305	C	2010-06-23T06:07:00	302.38779	18.57260
GA02	RP321312	C	2010-06-24T15:06:00	303.73151	16.83120
GA02	RP321322	C	2010-06-25T15:12:00	305.19711	14.87990
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230
GA02	RP321342	C	2010-06-27T17:27:00	307.95490	11.37230
GA02	RP321352	C	2010-06-28T14:16:00	309.53140	9.54620
GA02	RP321363	C	2010-06-29T17:13:00	311.11639	7.76640
GA02	RP321367	C	2010-06-30T07:08:00	311.11621	7.76680
GA02	RP321372	C	2010-07-01T13:56:00	313.58249	5.97880
GA02	RP321381	C	2010-07-02T16:52:00	316.24438	3.97750
