Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	3.000	1	17.04600	1	34.618000	1	242.300	1	0.40000	1		9	0.173000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	4.000	1	17.04600	1	34.618000	1	242.300	1	0.39000	1		9	0.173000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	5.000	1	17.04500	1	34.618000	1	242.300	1	0.39000	1		9	0.173000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	6.000	1	17.04500	1	34.618000	1	242.400	1	0.39000	1		9	0.173000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	7.000	1	17.04500	1	34.618000	1	242.300	1	0.39000	1		9	0.172000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	8.000	1	17.04500	1	34.618000	1	242.300	1	0.39000	1		9	0.171000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	9.000	1	17.04500	1	34.618000	1	242.300	1	0.39000	1		9	0.171000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	10.000	1	17.04500	1	34.618000	1	242.400	1	0.39000	1		9	0.171000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	11.000	1	17.04500	1	34.618000	1	242.400	1	0.39000	1		9	0.171000	1		9		9		9	1
GA02	RC057032	C	2011-03-08T03:21:00	312.82098	-46.90700	12.000	1	17.04500	1	34.618000	1	242.500	1	0.39000	1		9	0.171000	1		9		9		9	1
