Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	5.000	1	22.00500	1	35.729000	1	219.100	1	0.03000	1		9	0.081000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	6.000	1	22.00400	1	35.729000	1	219.200	1	0.03000	1		9	0.081000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	7.000	1	22.00200	1	35.729000	1	219.300	1	0.03000	1		9	0.081000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	8.000	1	22.00000	1	35.729000	1	219.200	1	0.03000	1		9	0.081000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	9.000	1	21.99700	1	35.729000	1	219.200	1	0.03000	1		9	0.080000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	10.000	1	21.99400	1	35.729000	1	219.300	1	0.03000	1		9	0.080000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	11.000	1	21.98500	1	35.728001	1	219.400	1	0.03000	1		9	0.080000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	12.000	1	21.97900	1	35.728001	1	219.500	1	0.03000	1		9	0.080000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	13.000	1	21.97300	1	35.728001	1	219.500	1	0.03000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	14.000	1	21.97300	1	35.728001	1	219.500	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	15.000	1	21.97300	1	35.728001	1	219.400	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	16.000	1	21.97300	1	35.728001	1	219.400	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	17.000	1	21.97300	1	35.728001	1	219.400	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	18.000	1	21.97300	1	35.728001	1	219.400	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	19.000	1	21.97300	1	35.728001	1	219.500	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	20.000	1	21.97300	1	35.728001	1	219.600	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	21.000	1	21.97300	1	35.728001	1	219.700	1	0.04000	1		9	0.079000	1		9		9		9	1
GA02	UC057081	C	2011-03-13T09:07:00	320.55750	-35.00830	22.000	1	21.97400	1	35.728001	1	219.700	1	0.04000	1		9	0.079000	1		9		9		9	1
