Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	6.000	1	15.13000	1	35.868999	1	258.300	1	1.35000	1		9	0.508000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	7.000	1	15.12700	1	35.868999	1	258.300	1	1.38000	1		9	0.508000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	8.000	1	15.12100	1	35.868999	1	258.200	1	1.46000	1		9	0.509000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	9.000	1	15.11700	1	35.869999	1	258.100	1	1.56000	1		9	0.509000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	10.000	1	15.11100	1	35.870998	1	258.000	1	1.67000	1		9	0.510000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	11.000	1	15.09900	1	35.873001	1	258.000	1	1.75000	1		9	0.510000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	12.000	1	15.08600	1	35.875000	1	258.000	1	1.79000	1		9	0.508000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	13.000	1	15.07200	1	35.877998	1	258.000	1	1.82000	1		9	0.506000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	14.000	1	15.06500	1	35.880001	1	258.000	1	1.83000	1		9	0.505000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	15.000	1	15.06000	1	35.881001	1	257.900	1	1.83000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	16.000	1	15.05900	1	35.882000	1	257.800	1	1.83000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	17.000	1	15.05600	1	35.882999	1	257.600	1	1.83000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	18.000	1	15.05200	1	35.883999	1	257.400	1	1.84000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	19.000	1	15.04900	1	35.884998	1	257.000	1	1.84000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	20.000	1	15.04700	1	35.886002	1	256.600	1	1.85000	1		9	0.503000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	21.000	1	15.04700	1	35.886002	1	256.200	1	1.88000	1		9	0.503000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	22.000	1	15.04800	1	35.887001	1	255.700	1	1.92000	1		9	0.503000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	23.000	1	15.04800	1	35.889000	1	255.200	1	1.95000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	24.000	1	15.04900	1	35.889999	1	254.700	1	1.96000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	25.000	1	15.04800	1	35.894001	1	254.200	1	1.95000	1		9	0.504000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	26.000	1	15.04300	1	35.900002	1	253.700	1	1.93000	1		9	0.493000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	27.000	1	15.03500	1	35.907001	1	253.100	1	1.89000	1		9	0.469000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	28.000	1	15.02500	1	35.912998	1	252.400	1	1.84000	1		9	0.442000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	29.000	1	15.01700	1	35.917999	1	251.700	1	1.76000	1		9	0.417000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	30.000	1	15.01000	1	35.921001	1	250.900	1	1.67000	1		9	0.404000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	31.000	1	15.00400	1	35.921001	1	250.100	1	1.57000	1		9	0.381000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	32.000	1	14.99000	1	35.919998	1	249.300	1	1.49000	1		9	0.367000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	33.000	1	14.97300	1	35.917000	1	248.400	1	1.45000	1		9	0.353000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	34.000	1	14.95700	1	35.914001	1	247.600	1	1.42000	1		9	0.346000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	35.000	1	14.94300	1	35.910999	1	246.700	1	1.40000	1		9	0.338000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	36.000	1	14.92900	1	35.908001	1	245.900	1	1.35000	1		9	0.329000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	37.000	1	14.91300	1	35.904999	1	245.000	1	1.29000	1		9	0.322000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	38.000	1	14.90600	1	35.903000	1	244.100	1	1.20000	1		9	0.314000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	39.000	1	14.90200	1	35.903000	1	243.300	1	1.12000	1		9	0.303000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	40.000	1	14.89800	1	35.902000	1	242.500	1	1.05000	1		9	0.296000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	41.000	1	14.89000	1	35.901001	1	241.800	1	0.99000	1		9	0.290000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	42.000	1	14.87800	1	35.900002	1	241.200	1	0.93000	1		9	0.282000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	43.000	1	14.86800	1	35.897999	1	240.500	1	0.87000	1		9	0.274000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	44.000	1	14.86100	1	35.896999	1	240.000	1	0.83000	1		9	0.267000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	45.000	1	14.85700	1	35.901001	1	239.400	1	0.80000	1		9	0.264000	1		9		9		9	1
GA02	UP319111	C	2010-05-11T10:15:00	320.60031	47.80000	46.000	1	14.85200	1	35.903999	1	238.800	1	0.76000	1		9	0.258000	1		9		9		9	1
