Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	2.000	1	28.92300	1	32.120998	1	186.500	1	0.18000	1		9	0.205000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	3.000	1	28.92300	1	32.122002	1	190.100	1	0.19000	1		9	0.206000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	4.000	1	28.92300	1	32.124001	1	196.000	1	0.19000	1		9	0.203000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	5.000	1	28.92400	1	32.124001	1	198.700	1	0.20000	1		9	0.202000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	6.000	1	28.92400	1	32.124001	1	199.400	1	0.22000	1		9	0.200000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	7.000	1	28.92400	1	32.124001	1	199.400	1	0.23000	1		9	0.201000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	8.000	1	28.92400	1	32.125000	1	199.500	1	0.24000	1		9	0.201000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	9.000	1	28.92400	1	32.125000	1	199.500	1	0.25000	1		9	0.201000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	10.000	1	28.92400	1	32.125000	1	199.500	1	0.25000	1		9	0.199000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	11.000	1	28.92400	1	32.124001	1	199.600	1	0.25000	1		9	0.197000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	12.000	1	28.92400	1	32.124001	1	199.600	1	0.25000	1		9	0.195000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	13.000	1	28.92500	1	32.124001	1	199.700	1	0.25000	1		9	0.195000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	14.000	1	28.92500	1	32.124001	1	199.800	1	0.25000	1		9	0.196000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	15.000	1	28.92500	1	32.124001	1	199.900	1	0.25000	1		9	0.196000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	16.000	1	28.92500	1	32.124001	1	200.000	1	0.25000	1		9	0.196000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	17.000	1	28.92500	1	32.125000	1	200.100	1	0.25000	1		9	0.196000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	18.000	1	28.92400	1	32.125999	1	200.000	1	0.25000	1		9	0.195000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	19.000	1	28.92400	1	32.131001	1	199.800	1	0.25000	1		9	0.195000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	20.000	1	28.92500	1	32.139999	1	199.400	1	0.25000	1		9	0.196000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	21.000	1	28.93100	1	32.188999	1	199.000	1	0.25000	1		9	0.197000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	22.000	1	28.94300	1	32.542000	1	198.200	1	0.26000	1		9	0.200000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	23.000	1	28.96100	1	33.383999	1	197.100	1	0.28000	1		9	0.211000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	24.000	1	28.98100	1	34.314999	1	195.900	1	0.30000	1		9	0.222000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	25.000	1	28.99800	1	34.992001	1	194.700	1	0.32000	1		9	0.232000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	26.000	1	29.01600	1	35.206001	1	193.900	1	0.33000	1		9	0.222000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	27.000	1	29.02600	1	35.291000	1	193.300	1	0.33000	1		9	0.203000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	28.000	1	29.03200	1	35.327000	1	192.900	1	0.31000	1		9	0.181000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	29.000	1	29.01100	1	35.333000	1	192.600	1	0.29000	1		9	0.166000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	30.000	1	28.98100	1	35.341000	1	192.400	1	0.27000	1		9	0.161000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	31.000	1	28.93800	1	35.360001	1	192.100	1	0.27000	1		9	0.156000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	32.000	1	28.87700	1	35.396999	1	191.600	1	0.27000	1		9	0.153000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	33.000	1	28.78700	1	35.448002	1	191.100	1	0.28000	1		9	0.150000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	34.000	1	28.69600	1	35.495998	1	190.500	1	0.30000	1		9	0.150000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	35.000	1	28.61100	1	35.535000	1	189.700	1	0.31000	1		9	0.149000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	36.000	1	28.53200	1	35.574001	1	188.700	1	0.31000	1		9	0.148000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	37.000	1	28.45800	1	35.610001	1	187.600	1	0.31000	1		9	0.140000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	38.000	1	28.40400	1	35.645000	1	186.200	1	0.29000	1		9	0.129000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	39.000	1	28.35500	1	35.695999	1	184.400	1	0.25000	1		9	0.119000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	40.000	1	28.30500	1	35.758999	1	182.400	1	0.22000	1		9	0.114000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	41.000	1	28.26700	1	35.824001	1	180.700	1	0.18000	1		9	0.108000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	42.000	1	28.24800	1	35.875999	1	179.900	1	0.15000	1		9	0.098000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	43.000	1	28.23400	1	35.914001	1	179.700	1	0.13000	1		9	0.089000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	44.000	1	28.21000	1	35.939999	1	179.900	1	0.12000	1		9	0.085000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	45.000	1	28.18000	1	35.948002	1	180.100	1	0.11000	1		9	0.083000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	46.000	1	28.14300	1	35.959000	1	180.600	1	0.10000	1		9	0.083000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	47.000	1	28.11500	1	35.971001	1	180.900	1	0.10000	1		9	0.082000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	48.000	1	28.10600	1	35.983002	1	181.200	1	0.10000	1		9	0.082000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	49.000	1	28.10800	1	35.994999	1	181.300	1	0.10000	1		9	0.081000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	50.000	1	28.11400	1	36.007000	1	181.300	1	0.10000	1		9	0.081000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	51.000	1	28.12400	1	36.020000	1	181.300	1	0.10000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	52.000	1	28.13400	1	36.028000	1	181.100	1	0.10000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	53.000	1	28.14000	1	36.034000	1	180.800	1	0.09000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	54.000	1	28.14200	1	36.035999	1	180.500	1	0.09000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	55.000	1	28.14000	1	36.037998	1	180.100	1	0.09000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	56.000	1	28.13600	1	36.040001	1	179.900	1	0.08000	1		9	0.081000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	57.000	1	28.13000	1	36.042000	1	179.700	1	0.08000	1		9	0.082000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	58.000	1	28.12500	1	36.042999	1	179.700	1	0.08000	1		9	0.082000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	59.000	1	28.12000	1	36.042999	1	179.800	1	0.08000	1		9	0.084000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	60.000	1	28.10900	1	36.041000	1	180.000	1	0.08000	1		9	0.085000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	61.000	1	28.08400	1	36.039001	1	180.300	1	0.08000	1		9	0.086000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	62.000	1	28.04400	1	36.036999	1	180.500	1	0.08000	1		9	0.085000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	63.000	1	28.00200	1	36.034000	1	180.700	1	0.08000	1		9	0.080000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	64.000	1	27.96500	1	36.030998	1	180.900	1	0.07000	1		9	0.074000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	65.000	1	27.93500	1	36.028000	1	181.100	1	0.06000	1		9	0.068000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	66.000	1	27.91000	1	36.022999	1	181.300	1	0.06000	1		9	0.066000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	67.000	1	27.87700	1	36.018002	1	181.300	1	0.06000	1		9	0.064000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	68.000	1	27.84700	1	36.013000	1	181.400	1	0.05000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	69.000	1	27.82000	1	36.013000	1	181.600	1	0.05000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	70.000	1	27.80600	1	36.013000	1	181.700	1	0.05000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	71.000	1	27.79200	1	36.012001	1	181.900	1	0.05000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	72.000	1	27.77500	1	36.012001	1	182.000	1	0.05000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	73.000	1	27.73900	1	36.012001	1	182.200	1	0.06000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	74.000	1	27.68300	1	36.012001	1	182.400	1	0.06000	1		9	0.064000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	75.000	1	27.58700	1	36.012001	1	182.900	1	0.06000	1		9	0.064000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	76.000	1	27.48100	1	36.014999	1	183.500	1	0.06000	1		9	0.063000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	77.000	1	27.38900	1	36.020000	1	184.000	1	0.06000	1		9	0.062000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	78.000	1	27.33100	1	36.027000	1	184.200	1	0.06000	1		9	0.060000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	79.000	1	27.30800	1	36.033001	1	184.200	1	0.06000	1		9	0.059000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	80.000	1	27.29600	1	36.043999	1	184.100	1	0.05000	1		9	0.059000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	81.000	1	27.29900	1	36.075001	1	184.100	1	0.05000	1		9	0.059000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	82.000	1	27.30200	1	36.124001	1	184.000	1	0.04000	1		9	0.058000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	83.000	1	27.30400	1	36.174999	1	184.400	1	0.04000	1		9	0.058000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	84.000	1	27.29600	1	36.209999	1	185.300	1	0.03000	1		9	0.057000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	85.000	1	27.27500	1	36.244999	1	186.900	1	0.03000	1		9	0.056000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	86.000	1	27.24300	1	36.286999	1	188.400	1	0.02000	1		9	0.055000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	87.000	1	27.21000	1	36.321999	1	189.500	1	0.02000	1		9	0.054000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	88.000	1	27.15900	1	36.341999	1	190.100	1	0.02000	1		9	0.054000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	89.000	1	27.10400	1	36.352001	1	190.600	1	0.02000	1		9	0.053000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	90.000	1	27.05500	1	36.372002	1	191.700	1	0.02000	1		9	0.053000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	91.000	1	27.02700	1	36.407001	1	193.400	1	0.01000	1		9	0.052000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	92.000	1	27.00900	1	36.446999	1	195.100	1	0.01000	1		9	0.052000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	93.000	1	26.99500	1	36.497002	1	196.100	1	0.01000	1		9	0.051000	1		9		9		9	1
GA02	RP321332	C	2010-06-26T12:25:00	306.57849	13.16230	94.000	1	26.98500	1	36.534000	1	196.400	1	0.01000	1		9	0.051000	1		9		9		9	1
